GeoFips,GeoName,2023
0,United States,22376906
1000,Alabama,241753.1
2000,Alaska,53006.3
4000,Arizona,414273.3
5000,Arkansas,140784.7
6000,California,3233151
8000,Colorado,428040.4
9000,Connecticut,282478.5
10000,Delaware,74262.8
11000,District of Columbia,145493.3
12000,Florida,1279118.8
13000,Georgia,661114.6
15000,Hawaii,86887.7
16000,Idaho,94914.3
17000,Illinois,875568.8
18000,Indiana,401472.2
19000,Iowa,200442.3
20000,Kansas,182349.6
21000,Kentucky,225234.6
22000,Louisiana,238195.9
23000,Maine,73780.8
24000,Maryland,420996.9
25000,Massachusetts,615148.4
26000,Michigan,547771.8
27000,Minnesota,383618.6
28000,Mississippi,114949.8
29000,Missouri,344115.4
30000,Montana,55192.6
31000,Nebraska,144182.9
32000,Nevada,192215.6
33000,New Hampshire,91254.7
34000,New Jersey,656480.3
35000,New Mexico,105463.3
36000,New York,1775714.1
37000,North Carolina,625681.9
38000,North Dakota,58014.8
39000,Ohio,698217.3
40000,Oklahoma,201658.8
41000,Oregon,260110.8
42000,Pennsylvania,789502.3
44000,Rhode Island,63172.6
45000,South Carolina,259930.2
46000,South Dakota,56309.3
47000,Tennessee,425409.7
48000,Texas,2032932.9
49000,Utah,219180.7
50000,Vermont,35073.5
51000,Virginia,590802.2
53000,Washington,672125.3
54000,West Virginia,80135.5
55000,Wisconsin,336460.6
56000,Wyoming,39322
91000,New England,1160814.1
92000,Mideast,3862616.5
93000,Great Lakes,2859299.7
94000,Plains,1369260
95000,Southeast,4883068.5
96000,Southwest,2754851.3
97000,Rocky Mountain,836705.7
98000,Far West,4497211.4
